Mouse,Video,Start Time,End Time,Genotype,h5
1057,1057-2,03:54.5,03:55.5,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:55.5,03:55.9,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:56.3,03:56.9,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:56.9,03:58.7,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:58.7,03:58.8,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:58.8,03:59.1,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:59.1,03:59.3,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:59.3,03:59.7,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,03:59.7,04:00.2,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,04:00.2,04:00.9,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,04:00.9,04:01.3,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,04:01.3,04:01.5,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,04:59.2,04:59.6,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,04:59.6,05:00.1,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,05:00.1,05:00.6,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,05:00.6,05:01.0,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,05:01.0,05:01.1,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1057,1057-2,05:01.1,05:01.5,MitoPark,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1057-2-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
1058,1058,00:09.6,00:09.7,Control,D:\DLC-training\bottom_mp_paws-Ameet-2021-03-24\videos\1058-bottomDLC_resnet101_bottom_mp_pawsMar24shuffle1_150000.h5
